volume,issue
1,3
1,2
1,1
2,3
2,2
2,1
1,4
3,3
3,2
3,1
2,4
4,3
4,2
4,1
3,4
5,3
5,2
5,1
4,4
6,3
6,2
6,1
5,4
7,4
7,3
7,2
7,1
6,4
9,3
9,2
9,1
8,3
8,2
8,1
11,3
11,2
11,1
10,3
10,2
10,1
13,3
13,2
13,1
12,3
12,2
12,1
15,3
15,2
15,1
14,3
14,2
14,1
17,3
17,2
17,1
16,3
16,2
16,1
19,3
19,2
19,1
18,3
18,2
18,1
21,3
21,2
21,1
20,3
20,2
20,1
23,3
23,2
23,1
22,3
22,2
22,1
25,3
25,2
25,1
24,3
24,2
24,1
27,3
27,2
27,1
26,3
26,2
26,1
29,3
29,2
29,1
28,3
28,2
28,1
31,3
31,2
31,1
30,3
30,2
30,1
33,3
33,2
33,1
32,3
32,2
32,1
35,3
35,2
35,1
34,3
34,2
34,1
37,3
37,2
37,1
36,3
36,2
36,1
39,3
39,2
39,1
38,3
38,2
38,1
41,3
41,2
41,1
40,3
40,2
40,1
43,3
43,2
43,1
42,3
42,2
42,1
45,3
45,2
45,1
44,3
44,2
44,1
47,3
47,2
47,1
46,3
46,2
46,1
49,3
49,2
49,1
48,3
48,2
48,1
51,3
51,2
51,1
50,3
50,2
50,1
53,3
53,2
53,1
52,3
52,2
52,1
54,6
54,5
54,4
54,3
54,2
54,1
55,6
55,5
55,4
55,3
55,2
55,1
56,6
56,5
56,4
56,3
56,2
56,1
57,6
57,5
57,4
57,3
57,2
57,1
58,6
58,5
58,4
58,3
58,2
58,1
59,6
59,5
59,4
59,3
59,2
59,1
60,6
60,5
60,4
60,3
60,2
60,1
61,6
61,5
61,4
61,3
61,2
61,1
62,6
62,5
62,4
62,3
62,2
62,1
63,6
63,5
63,4
63,3
63,2
63,1
64,6
64,5
64,4
64,3
64,2
64,1
65,6
65,5
65,4
65,3
65,2
65,1
66,6
66,5
66,4
66,3
66,2
66,1
67,6
67,5
67,4
67,3
67,2
67,1
68,6
68,5
68,4
68,3
68,2
68,1
69,6
69,5
69,4
69,3
69,2
69,1
70,6
70,5
70,4
70,3
70,2
70,1
71,6
71,5
71,4
71,3
71,2
71,1
72,6
72,5
72,4
72,3
72,2
72,1
73,6
73,5
73,4
73,3
73,2
73,1
74,6
74,5
74,4
74,3
74,2
74,1
75,6
75,5
75,4
75,3
75,2
75,1
76,6
76,5
76,4
76,3
76,2
76,1
77,6
77,5
77,4
77,3
77,2
77,1
78,6
78,5
78,4
78,3
78,2
78,1
79,6
79,5
79,4
79,3
79,2
79,1
80,6
80,5
80,4
80,3
80,2
80,1
81,6
81,5
81,4
81,3
81,2
81,1
82,6
82,5
82,4
82,3
82,2
82,1
83,6
83,5
83,4
83,3
83,2
83,1
84,6
84,5
84,4
84,3
84,2
84,1
85,6
85,5
85,4
85,3
85,2
85,1
86,6
86,5
86,4
86,3
86,2
86,1
87,6
87,5
87,4
87,3
87,2
87,1
88,8
88,7
88,6
88,5
88,4
88,3
88,2
88,1
89,8
89,7
89,6
89,5
89,4
89,3
89,2
89,1
90,8
90,7
90,6
90,5
90,4
90,3
90,2
90,1
91,8
91,7
91,6
91,5
91,4
91,3
91,2
91,1
92,8
92,7
92,6
92,5
92,4
92,3
92,2
92,1
93,8
93,7
93,6
93,5
93,4
93,3
93,2
93,1
94,8
94,7
94,6
94,5
94,4
94,3
94,2
94,1
95,8
95,7
95,6
95,5
95,4
95,3
95,2
95,1
96,8
96,7
96,6
96,5
96,4
96,3
96,2
96,1
97,8
97,7
97,6
97,5
97,4
97,3
97,2
97,1
98,8
98,7
98,6
98,5
98,4
98,3
98,2
98,1
99,12
99,11
99,10
99,9
99,8
99,7
99,6
99,5
99,4
99,3
99,2
99,1
100,12
100,11
100,10
100,9
100,8
100,7
100,6
100,5
100,4
100,3
100,2
100,1
101,12
101,11
101,10
101,9
101,8
101,7
101,6
101,5
101,4
101,3
101,2
101,1
102,12
102,11
102,10
102,9
102,8
102,7
102,6
102,5
102,4
102,3
102,2
102,1
103,12
103,11
103,10
103,9
103,8
103,7
103,6
103,5
103,4
103,3
103,2
103,1
104,12
104,11
104,10
104,9
104,8
104,7
104,6
104,5
104,4
104,3
104,2
104,1
105,12
105,11
105,10
105,9
105,8
105,7
105,6
105,5
105,4
105,3
105,2
105,1
106,12
106,11
106,10
106,9
106,8
106,7
106,6
106,5
106,4
106,3
106,2
106,1
107,12
107,11
107,10
107,9
107,8
107,7
107,6
107,5
107,4
107,3
107,2
107,1
108,12
108,11
108,10
108,9
108,8
108,7
108,6
108,5
108,4
108,3
108,2
108,1
109,12
109,11
109,10
109,9
109,8
109,7
109,6
109,5
109,4
109,3
109,2
109,1
110,12
110,11
110,10
110,9
110,8
110,7
110,6
110,5
110,4
110,3
110,2
110,1
111,12
111,11
111,10
111,9
111,8
111,7
111,6
111,5
111,4
111,3
111,2
111,1
112,12
112,11
112,10
112,9
112,8
112,7
112,6
112,5
112,4
112,3
112,2
112,1
113,12
113,11
113,10
113,9
113,8
113,7
113,6
113,5
113,4
113,3
113,2
113,1
114,24
114,23
114,22
114,21
114,20
114,19
114,18
114,17
114,16
114,15
114,14
114,13
114,12
114,11
114,10
114,9
114,8
114,7
114,6
114,5
114,4
114,3
114,2
114,1
115,24
115,23
115,22
115,21
115,20
115,19
115,18
115,17
115,16
115,15
115,14
115,13
115,12
115,11
115,10
115,9
115,8
115,7
115,6
115,5
115,4
115,3
115,2
115,1
116,24
116,23
116,22
116,21
116,20
116,19
116,18
116,17
116,16
116,15
116,14
116,13
116,12
116,11
116,10
116,9
116,8
116,7
116,6
116,5
116,4
116,3
116,2
116,1
117,24
117,23
117,22
117,21
117,20
117,19
117,18
117,17
117,16
117,15
117,14
117,13
117,12
117,11
117,10
117,9
117,8
117,7
117,6
117,5
117,4
117,3
117,2
117,1
118,24
118,23
118,22
118,21
118,20
118,19
118,18
118,17
118,16
118,15
118,14
118,13
118,12
118,11
118,10
118,9
118,8
118,7
118,6
118,5
118,4
118,3
118,2
118,1
119,24
119,23
119,22
119,21
119,20
119,19
119,18
119,17
119,16
119,15
119,14
119,13
119,12
119,11
119,10
119,9
119,8
119,7
119,6
119,5
119,4
119,3
119,2
119,1
120,11
120,10
120,9
120,8
120,7
120,6
120,5
120,4
120,3
120,2
120,1
