volume,issue
1,12
1,11
1,10
1,9
1,8
1,7
1,6
1,5
1,4
1,3
1,2
1,1
2,12
2,11
2,10
2,8
2,7
2,6
2,5
2,4
2,3
2,2
2,1
3,12
3,11
3,10
3,9
3,8
3,6
3,5
3,4
3,3
3,2
3,1
4,12
4,11
4,10
4,9
4,8
4,7
4,6
4,5
4,4
4,3
4,2
4,1
5,12
5,11
5,10
5,9
5,7
5,6
5,5
5,4
5,3
5,2
5,1
6,9
6,8
6,7
6,6
6,5
6,4
6,3
6,2
6,1
7,10
7,9
7,8
7,7
7,6
7,5
7,4
7,3
7,2
7,1
8,10
8,9
8,8
8,7
8,6
8,5
8,3
8,2
8,1
9,10
9,9
9,8
9,7
9,6
9,5
9,4
9,3
9,2
9,1
10,9
10,8
10,7
10,6
10,5
10,3
10,2
10,1
11,10
11,9
11,8
11,7
11,6
11,5
11,4
11,3
11,2
11,1
12,10
12,9
12,8
12,7
12,6
12,5
12,4
12,3
12,2
12,1
13,10
13,9
13,8
13,7
13,6
13,5
13,4
13,3
13,2
13,1
14,10
14,9
14,8
14,7
14,6
14,5
14,4
14,3
14,2
14,1
15,12
15,11
15,10
15,9
15,8
15,7
15,6
15,5
15,4
15,3
15,2
15,1
16,12
16,11
16,10
16,9
16,8
16,7
16,6
16,5
16,4
16,3
16,2
16,1
17,12
17,11
17,10
17,9
17,8
17,7
17,6
17,5
17,4
17,3
17,2
17,1
18,12
18,11
18,10
18,9
18,8
18,7
18,6
18,5
18,4
18,3
18,2
18,1
19,12
19,11
19,10
19,9
19,8
19,7
19,6
19,5
19,4
19,3
19,2
19,1
20,12
20,11
20,10
20,9
20,8
20,7
20,6
20,5
20,4
20,3
20,2
20,1
21,12
21,11
21,10
21,9
21,8
21,7
21,6
21,5
21,4
21,3
21,2
21,1
22,12
22,11
22,10
22,9
22,8
22,7
22,6
22,5
22,4
22,3
22,2
22,1
23,12
23,11
23,10
23,9
23,8
23,7
23,6
23,5
23,4
23,3
23,2
23,1
24,12
24,11
24,10
24,9
24,8
24,7
24,6
24,5
24,4
24,3
24,2
24,1
25,12
25,11
25,10
25,9
25,8
25,7
25,6
25,5
25,4
25,3
25,2
25,1
26,12
26,11
26,10
26,9
26,8
26,7
26,6
26,5
26,4
26,3
26,2
26,1
27,12
27,11
27,10
27,9
27,8
27,7
27,6
27,5
27,4
27,3
27,2
27,1
28,12
28,11
28,10
28,9
28,8
28,7
28,6
28,5
28,4
28,3
28,2
28,1
29,12
29,11
29,10
29,9
29,8
29,7
29,6
29,5
29,4
29,3
29,2
29,1
30,12
30,11
30,10
30,9
30,8
30,7
30,6
30,5
30,4
30,3
30,2
30,1
31,12
31,11
31,10
31,9
31,8
31,7
31,6
31,5
31,4
31,3
31,2
31,1
32,12
32,11
32,10
32,9
32,8
32,7
32,6
32,5
32,4
32,3
32,2
32,1
33,12
33,11
33,10
33,9
33,8
33,7
33,6
33,5
33,4
33,3
33,2
33,1
34,12
34,11
34,10
34,9
34,8
34,7
34,6
34,5
34,4
34,3
34,2
34,1
35,12
35,11
35,10
35,9
35,8
35,7
35,6
35,5
35,4
35,3
35,2
35,1
36,12
36,11
36,10
36,9
36,8
36,7
36,6
36,5
36,4
36,3
36,2
36,1
37,12
37,11
37,10
37,9
37,8
37,7
37,6
37,5
37,4
37,3
37,2
37,1
38,12
38,11
38,10
38,9
38,8
38,7
38,6
38,5
38,4
38,3
38,2
38,1
39,12
39,11
39,10
39,9
39,8
39,7
39,6
39,5
39,4
39,3
39,2
39,1
40,12
40,11
40,10
40,9
40,8
40,7
40,6
40,5
40,4
40,3
40,2
40,1
41,12
41,11
41,10
41,9
41,8
41,7
41,6
41,5
41,4
41,3
41,2
41,1
42,12
42,11
42,10
42,9
42,8
42,7
42,6
42,5
42,4
42,3
42,2
42,1
43,12
43,11
43,10
43,9
43,8
43,7
43,6
43,5
43,4
43,3
43,2
43,1
44,12
44,11
44,10
44,9
44,8
44,7
44,6
44,5
44,4
44,3
44,2
44,1
45,12
45,11
45,10
45,9
45,8
45,7
45,6
45,5
45,4
45,3
45,2
45,1
46,12
46,11
46,10
46,9
46,8
46,7
46,6
46,5
46,4
46,3
46,2
46,1
47,12
47,11
47,10
47,9
47,8
47,7
47,6
47,5
47,4
47,3
47,2
47,1
48,12
48,11
48,10
48,9
48,8
48,7
48,6
48,5
48,4
48,3
48,2
48,1
49,12
49,11
49,10
49,9
49,8
49,7
49,6
49,5
49,4
49,3
49,2
49,1
50,12
50,11
50,10
50,9
50,8
50,7
50,6
50,5
50,4
50,3
50,2
50,1
51,12
51,11
51,10
51,9
51,8
51,7
51,6
51,5
51,4
51,3
51,2
51,1
52,12
52,11
52,10
52,9
52,8
52,7
52,6
52,5
52,4
52,3
52,2
52,1
53,12
53,11
53,10
53,9
53,8
53,7
53,6
53,5
53,4
53,3
53,2
53,1
54,12
54,11
54,10
54,9
54,8
54,7
54,6
54,5
54,4
54,3
54,2
54,1
55,12
55,11
55,10
