volume,issue
1,12
1,11
1,10
1,9
1,8
1,7
1,6
1,5
1,4
1,3
1,2
1,1
2,12
2,11
2,10
2,9
2,8
2,7
2,6
2,5
2,4
2,3
2,2
2,1
3,12
3,11
3,10
3,9
3,8
3,7
3,6
3,5
3,4
3,3
3,2
3,1
4,12
4,11
4,10
4,9
4,8
4,7
4,6
4,5
4,4
4,3
4,2
4,1
5,12
5,11
5,10
5,9
5,8
5,7
5,6
5,5
5,4
5,3
5,2
5,1
6,12
6,11
6,10
6,9
6,8
6,7
6,6
6,5
6,4
6,3
6,2
6,1
7,12
7,11
7,10
7,9
7,8
7,7
7,6
7,5
7,4
7,3
7,2
7,1
8,12
8,11
8,10
8,9
8,8
8,7
8,6
8,5
8,4
8,3
8,2
8,1
9,12
9,11
9,10
9,9
9,8
9,7
9,6
9,5
9,4
9,3
9,2
9,1
10,12
10,11
10,10
10,9
10,8
10,7
10,6
10,5
10,4
10,3
10,2
10,1
11,12
11,11
11,10
11,9
11,8
11,7
11,6
11,5
11,4
11,3
11,2
11,1
12,12
12,11
12,10
12,9
12,8
12,7
12,6
12,5
12,4
12,3
12,2
12,1
13,12
13,11
13,10
13,9
13,8
13,7
13,6
13,5
13,4
13,3
13,2
13,1
14,12
14,11
14,10
14,9
14,8
14,7
14,6
14,5
14,4
14,3
14,2
14,1
15,26
15,25
15,24
15,23
15,22
15,21
15,20
15,19
15,18
15,17
15,16
15,15
15,14
15,13
15,12
15,11
15,10
15,9
15,8
15,7
15,6
15,5
15,4
15,3
15,2
15,1
16,26
16,25
16,24
16,23
16,22
16,21
16,20
16,19
16,18
16,17
16,16
16,15
16,14
16,13
16,12
16,11
16,10
16,9
16,8
16,7
16,6
16,5
16,4
16,3
16,2
16,1
17,26
17,25
17,24
17,23
17,22
17,21
17,20
17,19
17,18
17,17
17,16
17,15
17,14
17,13
17,12
17,11
17,10
17,9
17,8
17,7
17,6
17,5
17,4
17,3
17,2
17,1
18,26
18,25
18,24
18,23
18,22
18,21
18,20
18,19
18,18
18,17
18,16
18,15
18,14
18,13
18,12
18,11
18,10
18,9
18,8
18,7
18,6
18,5
18,4
18,3
18,2
18,1
19,26
19,25
19,24
19,23
19,22
19,21
19,20
19,19
19,18
19,17
19,16
19,15
19,14
19,13
19,12
19,11
19,10
19,9
19,8
19,7
19,5
19,6
19,4
19,3
19,2
19,1
20,26
20,25
20,24
20,23
20,22
20,21
20,20
20,19
20,18
20,17
20,16
20,15
20,14
20,13
20,12
20,11
20,10
20,9
20,8
20,7
20,6
20,5
20,4
20,3
20,2
20,1
21,26
21,25
21,24
21,23
21,22
21,21
21,20
21,19
21,18
21,17
21,16
21,15
21,14
21,13
21,12
21,11
21,10
21,9
21,8
21,7
21,6
21,5
21,4
21,3
21,2
21,1
22,26
22,25
22,24
22,23
22,22
22,21
22,20
22,19
22,18
22,17
22,16
22,15
22,14
22,13
22,12
22,11
22,10
22,9
22,8
22,7
22,6
22,5
22,4
22,3
22,2
22,1
24,2
23,26
23,25
23,24
23,23
23,22
23,21
23,20
23,19
23,18
23,17
23,16
23,15
23,14
23,13
23,12
23,11
23,10
23,9
23,8
23,7
23,6
23,5
23,4
23,3
23,2
23,1
24,26
24,25
24,24
24,23
24,22
24,21
24,20
24,19
24,18
24,17
24,16
24,15
24,14
24,13
24,12
24,11
24,10
24,9
24,8
24,7
24,6
24,5
24,4
24,3
24,2
24,1
25,26
25,25
25,24
25,23
25,22
25,21
25,20
25,19
25,18
25,17
25,16
25,15
25,14
25,13
25,12
25,11
25,10
25,9
25,8
25,7
25,6
25,5
25,4
25,3
25,2
25,1
26,27
26,26
26,25
26,24
26,23
26,22
26,21
26,20
26,19
26,18
26,17
26,16
26,15
26,14
26,13
26,12
26,11
26,10
26,9
26,8
26,7
26,6
26,5
26,4
26,3
26,2
26,1
27,24
27,23
27,22
27,21
27,20
27,19
27,18
27,17
27,16
27,15
27,14
27,13
27,11
27,12
27,10
27,9
27,8
27,7
27,6
27,5
27,4
27,3
27,2
27,1
28,24
28,23
28,22
28,21
28,20
28,19
28,18
28,17
28,16
28,15
28,14
28,13
28,12
28,11
28,10
28,9
28,8
28,7
28,6
28,5
28,4
28,3
28,2
28,1
29,24
29,23
29,22
29,21
29,20
29,19
29,18
29,17
29,16
29,15
29,14
29,13
29,12
29,11
29,10
29,9
29,8
29,7
29,6
29,5
29,4
29,3
29,2
29,1
30,24
30,23
30,22
30,21
30,20
30,19
30,18
30,17
30,16
30,15
30,14
30,13
30,12
30,11
30,10
30,9
30,8
30,7
30,6
30,5
30,4
30,3
30,2
30,1
31,24
31,23
31,22
31,21
31,20
31,19
31,18
31,17
31,16
31,15
31,14
31,13
31,12
31,11
31,10
31,9
31,8
31,7
31,6
31,5
31,4
31,3
31,2
31,1
32,24
32,23
32,22
32,21
32,20
32,19
32,18
32,17
32,16
32,15
32,14
32,13
32,12
32,11
32,10
32,9
32,8
32,7
32,6
32,5
32,4
32,3
32,2
32,1
